#,How confident are you now in managing your emotions and staying calm when things get stressful at work or in life?,"After learning about emotional intelligence, how are you at recognizing your personal emotional triggers?",Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,Creating my Emotional Pause Plan ,Learning ways to stay calm and in control ,Talking with others about emotional stress ,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,Other,"After the Communication Styles workshop, *how well do you understand your own communication style?*",What’s the communication habit _*you most want to work on this summer?*_,Other,Are you more or less motivated about setting and actually reaching your goals after the goals workshop?,What is *ONE specific personal or professional goal* you plan to work on this summer?,What is your current clarity level about your possible career paths?,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,Identifying what I don’t want in a job ,Learning that career paths can change over time ,Getting new ideas I never considered before ,"Realizing I don’t need a full plan, just a direction ",Other,How confident are you in your ability *to manage your money* this summer?,Which lessons from the *Money Moves workshop *do you think will help you most? *(Select TWO)*,Other,"After the personal branding session, how confident are you in *how you show up professionally*?",Practice my elevator pitch ,Start or improve a professional social media profile ,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,Network and build relationships ,Post content that shows who I am professionally ,Other,"Overall, how much do you feel you grew during the orientation?",Would you recommend this orientation and program to a friend or peer?,What are *TWO topics or focus areas* you wish we included in orientation that weren’t covered?,What’s *ONE SUGGESTION* you have for how we can make orientation even better next time?,What were *TWO THINGS* about this orientation that you enjoyed or found most valuable?,"How old are you?
",What is your current education status?,Other,What is your gender identity?,Other,Black or African American ,Hispanic or Latino ,White ,Asian or Pacific Islander ,American Indian or Alaska Native ,"Have you signed up to receive your paycheck with ""Direct Deposit"" and have a bank account?","If you are set up for ""direct deposit"", what is the name of your bank?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
wqu5my9aqemircigfuwqu2isdrw2dm44,Very confident ,Much better ,Understanding common workplace triggers ,,Creating my Emotional Pause Plan ,,,,,,I understand it clearly ,Managing body language and non-verbal cues ,,A little more motivated ,To build connections with those I work with,I feel very clear about my options and direction ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Very confident ,Understanding gross vs. net pay ,,Extremely confident in how I present myself ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,Somewhat ,Probably yes ,N/A,Make the groups smaller to make it easier to connect,1. Creating a plan for roadblocks 2. Built those connections with those around you,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,PNC,completed,2025-06-10 17:01:10,,2025-06-10 17:05:01,cac95352f5,,
smcvs8an0gmkgvyhjsmcvswt6c1filjy,Extremely confident ,"A lot better, I understand them clearly now ",,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Extremely motivated to take action now ,Responding to tough situations,I feel very clear about my options and direction ,,,,Identifying what I don’t want in a job ,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Understanding how to start saving now ,,Extremely confident in how I present myself ,,,,Be more intentional about how I speak and carry myself ,,,Post content that shows who I am professionally ,,Somewhat ,Absolutely yes ,Time management and budgeting,More time for lectures,Enjoyed the conversation,23,,out of college,Female ,,Black or African American ,,,,,YES,US bank,completed,2025-06-10 17:00:48,,2025-06-10 17:08:12,cb0ea651b1,,
8corwbi8nu5ftj4kgqx8corwbqbfqbdy,Very confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I know it and I’m already working to improve it ,Being more confident when I speak ,,Much more motivated ,To get better at connecting,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Extremely confident ,Understanding gross vs. net pay ,,Extremely confident in how I present myself ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,Somewhat ,Absolutely yes ,Not too sure,More organization,"Lessons about connecting, and how to build relationships",14-17,In high school ,,Male ,,Black or African American ,,,,,YES,Wells Fargo Bank,completed,2025-06-10 17:00:39,,2025-06-10 17:04:12,84c083e3a7,,
hl52zz6s3zdmuhl57u9fmgvhn9t7skku,Very confident ,Much better ,,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I have a general idea ,Being more confident when I speak ,,Much more motivated ,getting out of my shell,I have solid ideas ,Exploring what I’m naturally good at ,,,,Learning that career paths can change over time ,,,,Somewhat confident ,Prioritizing needs vs. wants ,,Somewhat confident ,Practice my elevator pitch ,,,,,Network and build relationships ,,,Somewhat ,Absolutely yes ,n/a,more organized,resources and connections,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Navy Federal Credit Union,completed,2025-06-10 17:00:37,,2025-06-10 17:04:09,f07dbb152f,,
zlo8tips6gmdrdrt7zlo8tz3ugbb705k,Very confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,,,Talking with others about emotional stress ,,,,I understand it clearly ,Speaking with a professional tone ,,Much more motivated ,putting myself out there to network better,I have solid ideas ,Exploring what I’m naturally good at ,,Talking with others about dream jobs and paths ,,,,,,Very confident ,,,Very confident ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,Somewhat ,Maybe ,credit building (following the time schedule better),Starting on time so we can not feel rushed in our stations,"meeting new people, learning about digital presence",19,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,chase bank,completed,2025-06-10 17:00:34,,2025-06-10 17:06:26,e30e4da06d,,
mti6izzgrdvvzj8yp0mti6i3vmco098v,Extremely confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,,Talking with others about emotional stress ,,,,I know it and I’m already working to improve it ,Speaking with a professional tone ,,Much more motivated ,Speaking with courage and confidence,I have solid ideas ,,,,,Learning that career paths can change over time ,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,Start or improve a professional social media profile ,,,Make a better first impression in new spaces ,,,,Somewhat ,Maybe ,When it came to the trigger portion maybe talking about how to deal with somebody else’s attitude,Make it a little later in the day,The connections and the communication,18,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,Hispanic or Latino ,,,,YES,Wells Fargo (Charles Brunson Jr),completed,2025-06-10 17:00:34,,2025-06-10 17:04:13,62e252dc4e,,
f721se5p2zvj8p778fv5tvf721se5pyr,Very confident ,Much better ,Understanding common workplace triggers ,,Creating my Emotional Pause Plan ,,,,,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,A little more motivated ,Communicating my needs clearly,I feel very clear about my options and direction ,,Seeing how hobbies or skills connect to real careers ,,Identifying what I don’t want in a job ,,,,,Extremely confident ,Using apps to help me track money ,,Somewhat confident ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,More than expected,Probably yes ,"Tax breakdown, money management","Know what yall talking about, everyone on the same page",n/a,19,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,n/a,completed,2025-06-10 17:00:33,,2025-06-10 17:04:34,87f5c66bed,,
bo5jbemlhbuy1le5zhpb01qbo5jby2wb,A little confident ,Much better ,,,,Learning ways to stay calm and in control ,Talking with others about emotional stress ,,,,I understand it clearly ,Being more confident when I speak ,,Same ,Confidence,I feel very clear about my options and direction ,,,,,Learning that career paths can change over time ,Getting new ideas I never considered before ,,,Very confident ,Prioritizing needs vs. wants ,,Very confident ,Practice my elevator pitch ,,,,Make a better first impression in new spaces ,,,,Somewhat ,Maybe ,N/A,More organized,N/A,18,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Citizens,completed,2025-06-10 17:00:31,,2025-06-10 17:03:20,c6bd08fe9b,,
v8jj7jhxw9sthw29hv8jjoy3vqlkagap,Very confident ,Much better ,,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Being more confident when I speak ,,Much more motivated ,My personal goal is to fix and work on my sleep schedule.,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Understanding gross vs. net pay ,,Very confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,A lot ,Probably yes ,Learning more about how to find internships,A bit more organization and clarity regarding procedures would make orientation better.,I enjoyed being able to meet different people who have similar interests as me and being able to meet the staff!,18,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 17:00:24,,2025-06-10 17:10:01,c19a3fc7c4,,
o6fi9fcfx0884po6fkjxpsor867ha77l,Extremely confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I have a general idea ,Being more confident when I speak ,,Extremely motivated to take action now ,Being more outspoken,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,,Getting new ideas I never considered before ,,,Very confident ,Understanding how to start saving now ,,Extremely confident in how I present myself ,,Start or improve a professional social media profile ,,,Make a better first impression in new spaces ,,,,More than expected,Absolutely yes ,Being more put together,Start on time,Meeting new people and talking,24,High school graduate (not in school) ,,Female ,,Black or African American ,,,,,YES,Chime,completed,2025-06-10 17:00:24,,2025-06-10 17:08:52,f4a382facf,,
1bf5u40r5j5806s51bf5uwjto956ry7b,Extremely confident ,"A lot better, I understand them clearly now ",,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Being more confident when I speak ,,Extremely motivated to take action now ,Saving my money wisely,I have a little more clarity now ,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,,,,,,,Extremely confident ,Prioritizing needs vs. wants ,,Very confident ,Practice my elevator pitch ,,,,Make a better first impression in new spaces ,,,,More than expected,Absolutely yes ,"What really is credit , Job stability","snacks , and keep the pay","Connecting with people i never met , and learning more about myself I was questioning",19,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,"Wells Fargo , Kendrell Gordon Jr",completed,2025-06-10 17:00:23,,2025-06-10 17:09:57,cb0ea651b1,,
mig1wh7v6ekv94mig17kd8vtcetpxaru,Very confident ,Much better ,,,Creating my Emotional Pause Plan ,,,Visualizing myself responding better in tough situations ,,,I have a general idea ,Being more confident when I speak ,,Much more motivated ,To create a LinkedIn profile to allow there to be networking.,I have solid ideas ,,,Talking with others about dream jobs and paths ,,,Getting new ideas I never considered before ,,,Somewhat confident ,Using apps to help me track money ,,Very confident ,Practice my elevator pitch ,Start or improve a professional social media profile ,,,,,,,A lot ,Absolutely yes ,Self motivation,Make transportation easier,I met and communicated with new people and learnt valuable things I did not know.,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,PNC BANK,completed,2025-06-10 17:00:22,,2025-06-10 17:08:43,878e2c0532,,
0zuemxm3gtxpjp0z9rzyx51qnvvq3nli,Very confident ,Much better ,Understanding common workplace triggers ,,,,Talking with others about emotional stress ,,,,I have a general idea ,Being more confident when I speak ,,Extremely motivated to take action now ,Make more connections,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,Learning that career paths can change over time ,,,,Somewhat confident ,Knowing how to create a basic budget ,,Extremely confident in how I present myself ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,A lot ,Absolutely yes ,Professional Attire and Advocating for yourself in a respectful way,Have snacks,Meeting new people and gaining new knowledge,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Bank of America,completed,2025-06-10 17:00:19,,2025-06-10 17:05:27,4f5ca4528d,,
1rjpyp548zwegpbir1rjpypi1yptol3j,Very confident ,Much better ,Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,Computer data entry and computer science,I have solid ideas ,,,Talking with others about dream jobs and paths ,,Learning that career paths can change over time ,,,,Extremely confident ,Understanding gross vs. net pay ,,Extremely confident in how I present myself ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,More than expected,Probably yes ,Make the brand and credit cards,Class and balance of the money,Control your attitude and make changes for the careers,23,Currently enrolled in 2/4-year college ,,Male ,,,Hispanic or Latino ,,,,YES,Santander Bank,completed,2025-06-10 17:00:13,,2025-06-10 17:04:13,cb0ea651b1,,
k49yhegbkqk2cn3y2k49f7rlokijmiei,Extremely confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I know it and I’m already working to improve it ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,"One specific professional goal I plan to work on this summer is improving my communication skills in a workplace setting. I want to become more confident in asking questions, giving updates, and collaborating effectively with team members and supervisors.",I feel very clear about my options and direction ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Very confident ,Understanding gross vs. net pay ,,Very confident ,Practice my elevator pitch ,Start or improve a professional social media profile ,,,,,,,A lot ,Absolutely yes ,N/A.,N/A.,The staff & workshops.,22,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Capital One,completed,2025-06-10 17:00:12,,2025-06-10 17:03:55,381a028fc9,,
xx9j65zplkw4o241xx9j6v7hziecw22w,Extremely confident ,Much better ,Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I understand it clearly ,Speaking with a professional tone ,,Much more motivated ,Learning how to speak professionally,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,,Getting new ideas I never considered before ,,,Very confident ,Seeing how fast money can disappear ,,Somewhat confident ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,A lot ,Probably yes ,N/A,.,How to manage money and emotional intelligence,18,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Bank Of America,completed,2025-06-10 17:00:09,,2025-06-10 17:04:15,ef48c8d407,,
dvdmwbral6jwnjddvdmmkr275rat27xa,Very confident ,"A lot better, I understand them clearly now ",,,Creating my Emotional Pause Plan ,Learning ways to stay calm and in control ,,,,,I know it and I’m already working to improve it ,Being more confident when I speak ,,Extremely motivated to take action now ,I plan to work on BUDGETING better,I feel very clear about my options and direction ,,Seeing how hobbies or skills connect to real careers ,,,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Knowing how to create a basic budget ,,Extremely confident in how I present myself ,Practice my elevator pitch ,,,,,Network and build relationships ,,,More than expected,Absolutely yes ,N\A,N/A,I enjoyed how much networking was stressed to everyone to be able to get ahead as well as financially.,24,Recently graduated from college ,,Female ,,Black or African American ,,,,,YES,Bank of America,completed,2025-06-10 17:00:06,,2025-06-10 17:03:58,72a28db0f0,,
doqij2r6je7v7gk63j75doqijijgcl8h,Very confident ,Much better ,Understanding common workplace triggers ,,,,,,Identifying how others see me when I’m stressed ,,I have a general idea ,Managing body language and non-verbal cues ,,Much more motivated ,Get my credits up,I have solid ideas ,Exploring what I’m naturally good at ,,,,,,"Realizing I don’t need a full plan, just a direction ",,Somewhat confident ,Using apps to help me track money ,,Somewhat confident ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,Somewhat ,Probably yes ,Educational career paths and post undergrad sucess,I think maybe having the orientations virtual could be more helpful in making sure we get the most out of our training,Elevator pitches and talking with my peers,23,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Citizens Bank,completed,2025-06-10 17:00:01,,2025-06-10 17:03:26,73f63610c8,,
kbyr9zb6xty9thqyxjkbyr9zbfcabm64,Very confident ,Much better ,Understanding common workplace triggers ,,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,To network me and get more connected with people in my career field,I feel very clear about my options and direction ,,,Talking with others about dream jobs and paths ,,,Getting new ideas I never considered before ,,,Very confident ,Seeing how fast money can disappear ,,A little more confident ,,Start or improve a professional social media profile ,,,Make a better first impression in new spaces ,,,,More than expected,Absolutely yes ,More information about financing and networking,Start on time so we can get through everything and have enough time,Meeting new oriole and start networking,19,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,PNC BANK,completed,2025-06-10 16:59:47,,2025-06-10 17:04:01,59260bb1a6,,
tt7a03uf3xrtwuztt703yimkjp7iwakb,Extremely confident ,Much better ,Understanding common workplace triggers ,,,,,,Identifying how others see me when I’m stressed ,,I know it and I’m already working to improve it ,Being more confident when I speak ,,Extremely motivated to take action now ,Better communication,I feel very clear about my options and direction ,Exploring what I’m naturally good at ,,,,,Getting new ideas I never considered before ,,,Extremely confident ,Understanding how to start saving now ,,Very confident ,Practice my elevator pitch ,,,,,,Post content that shows who I am professionally ,,A lot ,Absolutely yes ,None,None,None,18,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,TD Bank,completed,2025-06-10 16:59:32,,2025-06-10 17:03:10,5affb2c6b3,,
pq2u4g9nvzwxihc4pq2uk7t1dh9mtd38,Extremely confident ,Much better ,,,Creating my Emotional Pause Plan ,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Managing body language and non-verbal cues ,,Much more motivated ,Save money,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,Learning that career paths can change over time ,,,,Very confident ,Using apps to help me track money ,,A little more confident ,,Start or improve a professional social media profile ,,Be more intentional about how I speak and carry myself ,,,,,Somewhat ,Absolutely yes ,Professional attire and situational scernarios,Provide snacks,The branding and communication session,24,,In graduate school,Female ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 16:59:31,,2025-06-10 17:06:01,ad113f9459,,
6074p23x0huctyfq4oki6074p2388ny7,Very confident ,Much better ,,,Creating my Emotional Pause Plan ,,,Visualizing myself responding better in tough situations ,,,I have a general idea ,Being more confident when I speak ,,Much more motivated ,A personal goal is to save up some money for other goals,I have a little more clarity now ,,Seeing how hobbies or skills connect to real careers ,,,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,Somewhat ,Absolutely yes ,1)How to push through anxiety and idk,Snacks and water,I enjoyed the people and what they were teaching,22,Recently graduated from college ,,Prefer not to answer ,,Black or African American ,,,,,YES,Capital one,completed,2025-06-10 16:59:30,,2025-06-10 17:12:58,cb0ea651b1,,
8xn068qlpaxr6yu5rtlcy8xn06y8uzp5,Extremely confident ,Much better ,,,Creating my Emotional Pause Plan ,,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Being more confident when I speak ,,Extremely motivated to take action now ,Save enough for a car,I feel very clear about my options and direction ,,Seeing how hobbies or skills connect to real careers ,,,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Learning the real cost of things ,,Extremely confident in how I present myself ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,More than expected,Absolutely yes ,Dress code in a work space and Time Management,"Bigger space, more organization in order to start on time",Meeting new people and connecting,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,PNC Bank,completed,2025-06-10 16:59:29,,2025-06-10 17:03:10,6ac4496c2d,,
rtu5okxwomwqli2z8grtu5ok7q1jfafn,Extremely confident ,"A lot better, I understand them clearly now ",,,,,Talking with others about emotional stress ,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Extremely motivated to take action now ,Refining my interpersonal networking skills,I feel very clear about my options and direction ,,,,Identifying what I don’t want in a job ,,Getting new ideas I never considered before ,,,Somewhat confident ,Knowing how to create a basic budget ,,Very confident ,Practice my elevator pitch ,,,,,Network and build relationships ,,,Somewhat ,Absolutely yes ,Navigating roadblocks,"light breakfast (bagels, water)",The facilitators where all amazing,20,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Chase Bank,completed,2025-06-10 16:59:22,,2025-06-10 17:06:14,91f6e29f27,,
q0ar6p5miu8o32q07d4eb5207kogi3am,Not confident at all ,Not at all better ,Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I still don’t really know it ,Being more confident when I speak ,,Less motivated ,H,I still feel unsure ,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,,,,,,,Not confident at all ,,,Not confident yet ,Practice my elevator pitch ,Start or improve a professional social media profile ,,,,,,,Not at all ,Probably not ,Vb,Fyc,Every thing,19,In high school ,,Male ,,Black or African American ,,,,,YES,Tg,completed,2025-06-10 16:59:11,,2025-06-10 17:00:26,2690bd587d,,
4y1skp46mfg812aiis94y1sku7y30huc,Extremely confident ,"A lot better, I understand them clearly now ",,,,,Talking with others about emotional stress ,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,Extremely motivated to take action now ,Save more money,I feel very clear about my options and direction ,,,,Identifying what I don’t want in a job ,Learning that career paths can change over time ,,,,Extremely confident ,,,Extremely confident in how I present myself ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,A lot ,Absolutely yes ,Nun,Bring food,The people and the environment,23,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Current,completed,2025-06-10 16:58:57,,2025-06-10 17:02:40,9bf09c374e,,
m3f4ddn443rj3v3xsa59eh7m3f4ddnjj,Extremely confident ,"A lot better, I understand them clearly now ",,,,Learning ways to stay calm and in control ,Talking with others about emotional stress ,,,,I know it and I’m already working to improve it ,Being more confident when I speak ,,Extremely motivated to take action now ,Being more confident with speaking.,I feel very clear about my options and direction ,,,Talking with others about dream jobs and paths ,,Learning that career paths can change over time ,,,,Extremely confident ,Learning the real cost of things ,,Somewhat confident ,,,,,,Network and build relationships ,Post content that shows who I am professionally ,,A lot ,Probably yes ,Prioritizing money and building your brand.,Start on time.,Networking and the speeches.,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,Hispanic or Latino ,White ,,,YES,Wells Fargo,completed,2025-06-10 16:58:55,,2025-06-10 17:10:02,8bb24d20c9,,
ruervx2hq0oerubmlmdkpm4xyyr9uvhb,Extremely confident ,Much better ,Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I understand it clearly ,Being more confident when I speak ,,Much more motivated ,Growth,I have solid ideas ,,,Talking with others about dream jobs and paths ,,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Prioritizing needs vs. wants ,,Somewhat confident ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,Not at all ,Maybe ,Not sure,Food,New connections,14-17,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Capital One,completed,2025-06-10 16:58:41,,2025-06-10 17:02:58,fde1ff1670,,
i7bi960zfvjlmdj3eli7bi9deq57fefr,Extremely confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,,,,Identifying how others see me when I’m stressed ,,I understand it clearly ,Speaking with a professional tone ,,Much more motivated ,Saving money,I have solid ideas ,,,,,Learning that career paths can change over time ,Getting new ideas I never considered before ,,,Very confident ,Using apps to help me track money ,,Very confident ,,,,,,Network and build relationships ,Post content that shows who I am professionally ,,A lot ,Probably yes ,Everything was well covered,Less A/C,Everything,20,,No school graduated,Male ,,Black or African American ,,,,,YES,Capital one,completed,2025-06-10 16:58:36,,2025-06-10 17:05:06,dffa4d3cb8,,
hog2469vribl18dhog24ou5pjoa9lzwi,A little confident ,Much better ,,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I have a general idea ,Speaking with a professional tone ,,A little more motivated ,One personal goal I want to work on this summer is to become more confident in speaking and creating conversations as we learned in career discovery lab conversations can lead to new connections,I still feel unsure ,Exploring what I’m naturally good at ,,,,,,"Realizing I don’t need a full plan, just a direction ",,Somewhat confident ,Knowing how to create a basic budget ,,Somewhat confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,Somewhat ,Absolutely yes ,How to deal with negativity and stress relieving tactics,Have us turn and talk about what problems we have in our community and give solutions on how we can fix it,The great questions and conversations everybody had also we gave feedback to our peers to help better them,20,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Capital One,completed,2025-06-10 16:58:35,,2025-06-10 17:11:18,d808532b23,,
cw126h5anh0bg4vcw126hefaqla4yfx8,Very confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Managing body language and non-verbal cues ,,Much more motivated ,My non verbal cues,I have solid ideas ,,,,,Learning that career paths can change over time ,Getting new ideas I never considered before ,,,Extremely confident ,Using apps to help me track money ,,Very confident ,,,,,,Network and build relationships ,Post content that shows who I am professionally ,,A lot ,Absolutely yes ,N/A,Food,Everything,21,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,BOA,completed,2025-06-10 16:58:22,,2025-06-10 17:04:02,882b673336,,
hv05ppvijrnwg6qa5ckqwhv05ptasvdm,Very confident ,Much better ,,,,,,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,NETWORK WITH PEOPLE IN MY INTERST,I have solid ideas ,Exploring what I’m naturally good at ,,,,,Getting new ideas I never considered before ,,,Very confident ,Learning the real cost of things ,,Very confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,More than expected,Probably yes ,Good things we’re covered,More workshops,Workshops,19,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Bank Of America,completed,2025-06-10 16:58:19,,2025-06-10 17:10:59,0bd56067cb,,
a7pd7kd0xquxhs8ll7ra7pd7fxyt6a3w,Extremely confident ,Not at all better ,,,Creating my Emotional Pause Plan ,,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Speaking with a professional tone ,,Much more motivated ,Saving,I still feel unsure ,,,,,Learning that career paths can change over time ,,"Realizing I don’t need a full plan, just a direction ",,Somewhat confident ,,,A little more confident ,,,Ask for feedback about how I come across to others ,,Make a better first impression in new spaces ,,,,Somewhat ,Maybe ,N/A,Let’s talk in person about that,New Friends,23,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,N/a,completed,2025-06-10 16:58:13,,2025-06-10 17:06:50,cb0ea651b1,,
kh80umplr63g4xr60kh80u5r6c1todm6,Very confident ,Much better ,,,,Learning ways to stay calm and in control ,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Being more confident when I speak ,,Much more motivated ,"I plan to work on my communication skills, specifically with the students I will be working with.",I feel very clear about my options and direction ,Exploring what I’m naturally good at ,,,,Learning that career paths can change over time ,,,,Extremely confident ,Prioritizing needs vs. wants ,,Extremely confident in how I present myself ,Practice my elevator pitch ,,,Be more intentional about how I speak and carry myself ,,,,,More than expected,Absolutely yes ,N/A,N/A,I enjoyed the branding workshop and the one related to exploring career options.,18,Currently enrolled in 2/4-year college ,,Female ,,,Hispanic or Latino ,,,,YES,Lusitania Savings Bank,completed,2025-06-10 16:58:12,,2025-06-10 17:02:39,dc695f62dc,,
mlho0jtgk1tizauemlhozvdwfx6f1sxy,A little confident ,Slightly better ,,,Creating my Emotional Pause Plan ,,Talking with others about emotional stress ,,,,I have a general idea ,Being more confident when I speak ,,Extremely motivated to take action now ,Work management,I have solid ideas ,,,,Identifying what I don’t want in a job ,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Using apps to help me track money ,,Very confident ,,,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,,,,,Somewhat ,Probably yes ,How to improve your skills for careers and where to look to connect and network,More time for each session(Maybe 1-2 sessions a day),Learning more about communication and emotional intelligence,21,High school graduate (not in school) ,,Female ,,Black or African American ,,,,,I'm not sure,Chase Bank(Brea Henderson),completed,2025-06-10 16:58:11,,2025-06-10 17:06:05,3309148d66,,
